Strasse,Postleitzahl,Ort,Anzahl Zimmer,Flaeche [m2],Preis [CHF]
St.Jakokbsstrasse 165,4052,Basel,1,13,270
Horburgstrasse 4,4057,Basel,2,55,1350
Amerbachstrasse 43,4057,Basel,1.5,33,920
Klingentalgraben 7,4057,Basel,4.5,122,1800
Klingentalgraben 7,4057,Basel,4,97,1700
Horburgstrasse 86,4057,Basel,2,45,1190
,4053,Basel,2.5,63,1235
,4057,Basel,2,55,1420
Missionsstrasse 61,4055,Basel,3,71,1480
Missionsstrasse 61,4055,Basel,3,71,1600
Sevogelstrasse 19,4052,Basel,3,79,1700
Münchensteinerstr. 4,4052,Basel,1,27,900
Feldbergstrasse 137,4057,Basel,4.5,88,1990
Feldbergstrasse 137,4057,Basel,1,29,1160
Feldbergstrasse 137,4057,Basel,2.5,48,1410
Feldbergstrasse 137,4057,Basel,3.5,72,1600
Feldbergstrasse 137,4057,Basel,1.5,36,1250
Efringerstrasse 2,4057,Basel,2.5,53,1560
Efringerstrasse 2,4057,Basel,1,29,1030
Dornacherstrasse 109,4053,Basel,1,36,1030
Holbeinstrasse 56,4051,Basel,2.5,89,2770
Hochstrasse 51,4053,Basel,3.5,95,1960
Claragraben 82,4058,Basel,3,77,1470
Wiesenstrasse 14,4057,Basel,1.5,42,1050
Markircherstrasse 22,4055,Basel,2,51,1220
Missionsstr. 52,4055,Basel,1,35,880
Schopfheimerstr. 4,4058,Basel,2,61,1220
Lehenmattstrasse 324,4052,Basel,2,52,1045
Baldeggerstrasse 58,4052,Basel,3,89,2230
Clarahofweg 47,4058,Basel,1.5,62,1590
Pfeffingerstrasse 55,4053,Basel,2,62,1475
Tangentenweg 56,4058,Basel,3.5,70,1960
Steinengraben 67,4051,Basel,3,64,1590
Pfeffingerstrasse,4053,Basel,3,65,1530
Kleinhüningerstrasse 136,4057,Basel,3.5,,1280
Güterstrasse 199,4053,Basel,2.5,48,1320
,4051,Basel,5,120,3530
Ryffstrasse 50,4056,Basel,1,30,970
Sperrstrasse 43,4057,Basel,3,64,1325
Elsässerstrasse 107,4056,Basel,2,45,1370
Holeestrasse 95,4054,Basel,1,20,530
Auberg 10,4051,Basel,4,102,2235
Liestaleranlage 30,4052,Basel,2.5,75,1570
Oberwilerstrasse 159,4054,Basel,3,91,1910
Spalenring 120,4055,Basel,2,68,1575
St. Jakobsstrasse 193,4052,Basel,3.5,72,2209
Redingstrasse,4052,Basel,3.5,98,2325
Gasstrasse 71,4056,Basel,2,64,1305
Kapellenstrasse 37,4052,Basel,3,85,1685
Zwingerstrasse 23a,4053,Basel,4.5,146,2901
Schützengraben 7,4051,Basel,2.5,58,1590
Schorenweg 40,4058,Basel,3.5,80,1785
Erlenstrasse 34,4058,Basel,3,56,1390
St. Jakobsstrasse 193,4052,Basel,3.5,72,1940
Hammerstrasse 183,4057,Basel,3.5,72,1740
Rheinfelderstr. 3,4058,Basel,3.5,90,1900
In den Klostermatten 17,4052,Basel,3,70,1510
Rosentalstr. 32,4058,Basel,2,54,1180
Mülhauserstr. 30,4056,Basel,3,,1531
Ryffstr. 12,4056,Basel,3,67,1625
Eulerstr. 64,4051,Basel,2.5,65,1770
Bernoullistr. 24,4056,Basel,4,111,2375
Eisenbahnweg 10,4058,Basel,3,70,1640
Sennheimerstr. 54,4054,Basel,4.5,89,1950
Sennheimerstr. 52,4054,Basel,4.5,80,1930
Sevogelstr. 40,4052,Basel,3,79,1795
St. Alban-Rheinweg 84,4052,Basel,2.5,68,1780
Innere Margarethenstrasse 9,4051,Basel,1,37,955
Bechburgerstrasse 5,4052,Basel,2,60,1540
Breisacherstrasse 68,4057,Basel,2,,1490
Gellertstrasse 26,4052,Basel,3,85,2110
Markircherstrasse 41,4055,Basel,3,68,1600
Laufenstrasse 41,4053,Basel,1.5,49,1320
Bruderholzstrasse 74,4053,Basel,3,79,1880
Ryffstrasse 26,4056,Basel,1,31,770
Clarastrasse 1,4058,Basel,3,63,1480
Laufenstrasse 41,4053,Basel,1.5,49,1340
Laufenstrasse 41,4053,Basel,1.5,49,1320
Tangentenweg 50,4058,Basel,2.5,49,1650
Blauensteinerstrasse 33,4053,Basel,4.5,108,2320
Klybeckstrasse 190,4057,Basel,3.5,71,1960
Klybeckstrasse 190,4057,Basel,1.5,28,935
Zürcherstr. 160,4052,Basel,1,54,1260
Hiltalingerstr. 5,4057,Basel,2,57,1290
Hegenheimerstrasse 240,4055,Basel,1,,890
Dolderweg 4,4058,Basel,3.5,74,1710
Markircherstrasse 56,4055,Basel,3,59,1490
