Titel,Path,Streetname,Postalcode,Location,Price,Rooms,Area
2 ½ Zimmer-Wohnung in Birsfelden mieten,/de/wohnung/burenweg-37-4127-birsfelden/583400/,Burenweg 37,4127,Birsfelden,1397,2 ½,60 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/sevogelstr-40-4052-basel/579939/,Sevogelstr. 40,4052,Basel,1795,3,79 m²
2 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/st-alban-rheinweg-84-4052-basel/554750/,St. Alban-Rheinweg 84,4052,Basel,1780,2 ½,68 m²
1 Zimmer-Studio in Basel mieten,/de/wohnung/innere-margarethenstrasse-9-4051-basel/570616/,Innere Margarethenstrasse 9,4051,Basel,955,1,37 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/bechburgerstrasse-5-4052-basel/590737/,Bechburgerstrasse 5,4052,Basel,1540,2,60 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/breisacherstrasse-68-4057-basel/590470/,Breisacherstrasse 68,4057,Basel,1490,2,NaN
3 Zimmer-Wohnung in Münchenstein mieten,/de/wohnung/birseckstrasse-50-4142-munchenstein/580734/,Birseckstrasse 50,4142,Münchenstein,1475,3,64 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/gellertstrasse-26-4052-basel/577577/,Gellertstrasse 26,4052,Basel,2110,3,85 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/markircherstrasse-41-4055-basel/590339/,Markircherstrasse 41,4055,Basel,1600,3,68 m²
1 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/laufenstrasse-41-4053-basel/590221/,Laufenstrasse 41,4053,Basel,1320,1 ½,49 m²
3 ½ Zimmer-Wohnung in Binningen mieten,/de/wohnung/bottmingerstr-119-4102-binningen/590196/,Bottmingerstr. 119,4102,Binningen,1990,3 ½,78 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/bruderholzstrasse-74-4053-basel/584739/,Bruderholzstrasse 74,4053,Basel,1880,3,79 m²
1 Zimmer-Wohnung in Basel mieten,/de/wohnung/ryffstrasse-26-4056-basel/589908/,Ryffstrasse 26,4056,Basel,770,1,31 m²
2 ½ Zimmer-Wohnung in Binningen mieten,/de/wohnung/im-zehntenfrei-27-4102-binningen/589852/,Im Zehntenfrei 27,4102,Binningen,2150,2 ½,70 m²
3 ½ Zimmer-Wohnung in Binningen mieten,/de/wohnung/bruderholzstrasse-20-4102-binningen/589849/,Bruderholzstrasse 20,4102,Binningen,2320,3 ½,97 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/clarastrasse-1-4058-basel/589837/,Clarastrasse 1,4058,Basel,1480,3,63 m²
1 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/laufenstrasse-41-4053-basel/583992/,Laufenstrasse 41,4053,Basel,1340,1 ½,49 m²
1 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/laufenstrasse-41-4053-basel/583956/,Laufenstrasse 41,4053,Basel,1320,1 ½,49 m²
2 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/tangentenweg-50-4058-basel/589768/,Tangentenweg 50,4058,Basel,1650,2 ½,49 m²
3 ½ Zimmer-Wohnung in Therwil mieten,/de/wohnung/im-wilacker-17-4106-therwil/589723/,Im Wilacker 17,4106,Therwil,1480,3 ½,77 m²
4 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/blauensteinerstrasse-33-4053-basel/587848/,Blauensteinerstrasse 33,4053,Basel,2320,4 ½,108 m²
3 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/klybeckstrasse-190-4057-basel/589658/,Klybeckstrasse 190,4057,Basel,1960,3 ½,71 m²
1 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/klybeckstrasse-190-4057-basel/589657/,Klybeckstrasse 190,4057,Basel,935,1 ½,28 m²
1 Zimmer-Wohnung in Basel mieten,/de/wohnung/zurcherstr-160-4052-basel/539807/,Zürcherstr. 160,4052,Basel,1260,1,54 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/hiltalingerstr-5-4057-basel/589400/,Hiltalingerstr. 5,4057,Basel,1290,2,57 m²
1 Zimmer-Wohnung in Basel mieten,/de/wohnung/hegenheimerstrasse-240-4055-basel/589360/,Hegenheimerstrasse 240,4055,Basel,890,1,NaN
3 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/dolderweg-4-4058-basel/589231/,Dolderweg 4,4058,Basel,1710,3 ½,74 m²
1 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/davidsrain-7-4057-basel/589088/,Davidsrain,4057,Basel,1900,1 ½,36 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/markircherstrasse-56-4055-basel/586243/,Markircherstrasse 56,4055,Basel,1490,3,59 m²
3 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/malzgasse-14-4052-basel/577146/,Malzgasse 14,4052,Basel,2010,3 ½,81 m²
5 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/engelgasse-45-4052-basel/571936/,Engelgasse 45,4052,Basel,6280,5 ½,193 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/maiengasse-12-4056-basel/589004/,Maiengasse 12,4056,Basel,1500,2,51 m²
1 Zimmer-Wohnung in Allschwil mieten,/de/wohnung/allmendstrasse-10-4123-allschwil/580238/,Allmendstrasse 10,4123,Allschwil,900,1,32 m²
3 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/4055-basel/588841/,no street available,4055,Basel,1690,3 ½,88 m²
2 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/freiburgerstrasse-9-4057-basel/588423/,Freiburgerstrasse 9,4057,Basel,1600,2 ½,NaN
1 Zimmer-Wohnung in Basel mieten,/de/wohnung/utengasse-39-4058-basel/588290/,Utengasse 39,4058,Basel,890,1,30 m²
3 Zimmer-Wohnung in Allschwil mieten,/de/wohnung/bettenstr-10-4123-allschwil/578337/,Bettenstr. 10,4123,Allschwil,1350,3,63 m²
