Strasse,Postleitzahl,Ort,Anzahl Zimmer,Flaeche [m2],Preis [CHF]
Im Reinacherhof 149a,4153,Reinach,3 ½,83 m²,2010
Rosentalstr. 17,4058,Basel,1 ½,50 m²,1425
Feldstrasse 108,4123,Allschwil,3 ½,74 m²,1578
Hofmattweg 75,4144,Arlesheim,4 ½,95 m²,2350
Gundeldingerstrasse 496,4053,Basel,3,76 m²,1426
Gundeldingerrain 81,4059,Basel,3 ½,98 m²,2040
Schneidergasse 21,4051,Basel,2,50 m²,1650
Birsstr. 320,4052,Basel,5 ½,196 m²,4910
Steinbühlweg 70,4123,Allschwil,3 ½,75 m²,2340
Hofstrasse 1,4127,Birsfelden,3 ½,72 m²,1640
Grimselstrasse 10,4054,Basel,2,64 m²,1054
Luzernerring 64,4056,Basel,3,75 m²,1635
Neuweilerstrasse 100,4054,Basel,3 ½,,1780
Tramstrasse 28,4142,Münchenstein,3,,1550
Güterstrasse 199,4053,Basel,1 ½,34 m²,1070
Bruderholzstrasse 22,4102,Binningen,2 ½,74 m²,1718
Helvetierstr. 23,4125,Riehen,3,76 m²,1685
Binningerstr. 42,4153,Reinach,3,74 m²,1464
Emil Frey-Strasse 215,4142,Münchenstein,3,60 m²,1410
Dürrenmattweg 88,4123,Allschwil,4 ½,102 m²,1850
Langegasse 121,4104,Oberwil,3 ½,93 m²,2460
Breisacherstr. 133,4057,Basel,3,66 m²,1490
Parkstrasse 25,4102,Binningen,3,65 m²,1453
Oetlingerstrasse 37,4057,Basel,2,52 m²,1350
Langegasse 99,4104,Oberwil,3 ½,76 m²,1770
Hauptstr. 114,4102,Binningen,2,52 m²,1380
Gartenstrasse 4,4123,Allschwil,4 ½,86 m²,1850
Grabenring 21,4123,Allschwil,3 ½,60 m²,1575
Gotthelfstrasse 96,4054,Basel,1,30 m²,880
Rheinparkstrasse 5,4127,Birsfelden,4,92 m²,2030
Neubadstrasse 150,4054,Basel,3 ½,121 m²,2450
Leuengasse 1,4106,Therwil,2 ½,71 m²,1790
Kleinhüningerstrasse 87,4057,Basel,2,40 m²,1260
Aussere Baselstrasse 63-65,4125,Riehen,2,46 m²,1380
Aussere Baselstrasse 63-65,4125,Riehen,3,64 m²,1680
Zürcherstr.  111,4052,Basel,3,80 m²,2050
Kirchgasse 2,4058,Basel,1,24 m²,850
Kurzelaengeweg 7A,4123,Allschwil,3 ½,77 m²,1950
Stockertstrasse,4132,Muttenz,3 ½,83 m²,2420
In den Dürrenmatten 2,4123,Allschwil,4,80 m²,1690
Lachenweg 5,4125,Riehen,4,84 m²,1980
Gilgenbergerstrasse 13,4053,Basel,3 ½,,1980
Oberwilerstrasse 157,4054,Basel,1 ½,46 m²,1160
Schlossgasse 7,4057,Basel,2,,1090
Baslerstrasse 254,4123,Allschwil,3 ½,106 m²,2120
Bottmingerstr. 5,4102,Binningen,3 ½,120 m²,2675
Baslerstrasse 160,4123,Allschwil,3,76 m²,1360
Ofenstrasse 24,4123,Allschwil,2 ½,76 m²,1690
Im Reinacherhof 153a,4153,Reinach,3 ½,86 m²,2030
Erlenmattstr. 83,4058,Basel,3 ½,83 m²,2280
,4123,Allschwil,2 ½,70 m²,2850
Rosentalstrasse 71,4058,Basel,3,74 m²,1720
Zürcherstr. 23,4052,Basel,2 ½,63 m²,1340
Hauptstrasse 3,4102,Binningen,3,75 m²,1710
St. Alban-Rheinweg 80,4052,Basel,1,37 m²,1050
Im Wilacker 17,4106,Therwil,3 ½,77 m²,1490
In den Dürrenmatten 6,4123,Allschwil,4,78 m²,1650
Mittlerer Kreis 51,4106,Therwil,3 ½,69 m²,1540
Binningerstr. 42,4153,Reinach,4,86 m²,1690
Wuhrmattstrasse 31,4103,Bottmingen,2,65 m²,1815
Baslerstrasse 160,4123,Allschwil,4,88 m²,1560
Brunnmattstrasse 4,4106,Therwil,4 ½,73 m²,1480
Unterm Stallen 15,4104,Oberwil,2 ½,62 m²,1664
Kleinhüningerstrasse,4057,Basel,3 ½,65 m²,1390
Klybeckstrasse 9,4057,Basel,3,64 m²,1550
Friedhofstrasse 13,4127,Birsfelden,3 ½,69 m²,1520
Tramstrasse 28,4142,Münchenstein,2,,1240
Gartenstrasse 62,4052,Basel,3,77 m²,2090
Bottmingerstrasse 102,4102,Binningen,3,74 m²,1760
Rheinparkstrasse 6,4127,Birsfelden,3,67 m²,1535
Altrheinweg 44,4057,Basel,2 ½,48 m²,1450
Gotthelfstrasse 96,4054,Basel,1,34 m²,1000
Therwilerstrasse 10,4142,Münchenstein,2 ½,60 m²,1600
Aussere Baselstrasse 63-65,4125,Riehen,2,41 m²,1280
Gotthelfstrasse 96,4054,Basel,2,52 m²,1220
Bahnhofstrasse 10,4106,Therwil,4,101 m²,2050
Klingental 1,4058,Basel,2 ½,102 m²,1876
Bachlettenstrasse 37,4054,Basel,2,48 m²,1390
Klybeckstrasse 190,4057,Basel,3,84 m²,2380
Bachlettenstrasse 37,4054,Basel,1,25 m²,1030
Klybeckstrasse 190,4057,Basel,3 ½,71 m²,1930
Bachlettenstrasse 39,4054,Basel,3,60 m²,1726
Farnsburgerstrasse 44,4052,Basel,,,2520
Klybeckstrasse 190,4057,Basel,1 ½,28 m²,995
Feldstrasse 12,4123,Allschwil,3,63 m²,1590
Maiengasse 27,4123,Allschwil,3 ½,71 m²,1680
Römerweg 8,4132,Muttenz,3,72 m²,1610
Friedhofstrasse 13,4127,Birsfelden,3 ½,69 m²,1400
Habshagstr. 15,4153,Reinach,3 ½,76 m²,1630
Talstrasse 55,4104,Oberwil,3,74 m²,1570
Lachenstrasse 16,4056,Basel,3,69 m²,1670
Kandererstrasse 29,4057,Basel,2,68 m²,1470
Spalenberg 26,4051,Basel,2,46 m²,1450
Hauptstrasse 44,4142,Münchenstein,5,103 m²,1895
Sempacherstrasse 59,4053,Basel,3,77 m²,1460
Spalenring 160,4055,Basel,2 ½,64 m²,1700
Binningerstrasse 32,4103,Bottmingen,3,61 m²,1360
Unterm Stallen 13,4104,Oberwil,3 ½,82 m²,2120
Mausackerweg 71,4153,Reinach,4,110 m²,2290
Therwilerstr. 37,4103,Bottmingen,3 ½,80 m²,1500
Zollweidenstrasse 29,4142,Münchenstein,3 ½,108 m²,1930
Burgfeldermattweg 47,4123,Allschwil,3 ½,85 m²,1655
Mittlerer Kreis 53L,4106,Therwil,3 ½,84 m²,1570
Aussere Baselstrasse 63-65,4125,Riehen,2,49 m²,1390
Im Reinacherhof 121,4153,Reinach,2 ½,62 m²,1460
Aeussere Lange Heid 3,4142,Münchenstein,3,62 m²,1400
Hofmattweg 79,4144,Arlesheim,3 ½,80 m²,2070
Im Steinenmüller 1,4142,Münchenstein,3,70 m²,1520
Unterm Stallen 13,4104,Oberwil,3 ½,93 m²,2270
Schlossgasse 15,4057,Basel,2,50 m²,1190
Langegasse 119,4104,Oberwil,3 ½,93 m²,2440
Helvetierstrasse 9,4125,Riehen,3 ½,68 m²,1640
Sattelgasse 2,4051,Basel,2 ½,85 m²,2400
Emil Frey-Strasse 75,4142,Münchenstein,3 ½,63 m²,1690
Im Reinacherhof 115a,4153,Reinach,3 ½,83 m²,2000
Spalenberg 26,4051,Basel,3 ½,106 m²,2500
Falkenstr. 6,4103,Bottmingen,4 ½,79 m²,2070
Therwilerstrasse 45,4103,Bottmingen,3,70 m²,1450
Margrethenstr. 4,4103,Bottmingen,2,69 m²,1730
Oberwilerstrasse 29,4102,Binningen,3,70 m²,1490
Falterstrasse 6,4104,Oberwil,4,108 m²,1970
Oberer Batterieweg 8,4059,Basel,2,60 m²,1360
Holeestrasse 159,4054,Basel,2,47 m²,1345
Fleischbachstrasse 71,4153,Reinach,5 ½,120 m²,2700
Bruderholzstrasse 28,4102,Binningen,3 ½,105 m²,2430
Rohrhagstrasse 18,4104,Oberwil,3,80 m²,1830
Alemannentr.11,4106,Therwil,3,70 m²,1480
Mattweg 61,4144,Arlesheim,4 ½,75 m²,1740
Zollweidenstrasse 17,4142,Münchenstein,3 ½,89 m²,1904
Eisenbahnweg 10,4058,Basel,3 ½,100 m²,1990
Therwilerstr. 39,4104,Oberwil,4 ½,126 m²,2178
Aeussere Lange Heid 3,4142,Münchenstein,3,62 m²,1400
Burgfeldermattweg 63,4123,Allschwil,3 ½,85 m²,2090
Gerbergässlein 41,4051,Basel,1 ½,96 m²,2440
Langegasse 105,4104,Oberwil,4 ½,86 m²,2050
Bottmingerstr. 7,4102,Binningen,2 ½,98 m²,2310
Allschwilerstrasse 2,4104,Oberwil,3,74 m²,1585
Eisenbahnweg 10,4058,Basel,3,75 m²,1650
Flughafenstr. 61,4056,Basel,3,60 m²,1500
Im Steinenmüller 3,4142,Münchenstein,4 ½,106 m²,2140
Burgfeldermattweg 19,4123,Allschwil,3 ½,75 m²,1970
Pfeffingerstrasse 82,4053,Basel,3,68 m²,1540
Im Hirshalm 52,4125,Riehen,3,76 m²,1660
Zollweidenstr. 14,4142,Münchenstein,3 ½,90 m²,1695
Langegasse 113,4104,Oberwil,5 ½,129 m²,3125
Rainallee 51,4125,Riehen,2 ½,58 m²,1463
Rheinparkstrasse 6,4127,Birsfelden,3,67 m²,1630
Mattweg 57,4144,Arlesheim,3 ½,84 m²,1730
Rosentalstr. 17,4058,Basel,2 ½,64 m²,2300
Predigerweg 9,4153,Reinach,4 ½,128 m²,2580
Helvetierstrasse 17,4125,Basel,2 ½,53 m²,2050
Rainallee 16,4125,Riehen,3,63 m²,1560
Passage 4,4104,Oberwil,4,142 m²,3320
Emil Frey-Strasse 75,4142,Münchenstein,2 ½,56 m²,1455
Mühledorfstrasse 25,3018,Bern,3 ½,75 m²,1715
Gigonweg 19,3027,Bern,,74 m²,1620
Morgartenstrasse 15,3014,Bern,4 ½,95 m²,2750
Morgartenstrasse 15,3014,Bern,2 ½,42 m²,1550
Morgartenstrasse 15,3014,Bern,4 ½,85 m²,2950
Riedbachstrasse 77,3027,Bern,2 ½,54 m²,1480
Neuhausweg 25,3027,Bern,4 ½,113 m²,775
Sahlistrasse 44,3012,Bern,2,,1475
Wangenstrasse 62,3018,Bern,2,,1350
Neuhausweg 23,3027,Bern,3,,1390
Blankweg 62,3072,Ostermundigen,2 ½,59 m²,1480
Lombachweg 13,3006,Bern,3 ½,80 m²,2700
Baumgartenstrasse 13,3018,Bern,2,50 m²,950
,3006,Bern,4,,1480
Lindenhofstrasse 10,3048,Worblaufen,2 ½,67 m²,1430
Schlossstrasse 90,3008,Bern,3,81 m²,1790
Schermenweg 172,3072,Ostermundigen,2,52 m²,1190
Morillonstrasse 11,3007,Bern,1,30 m²,877
Alpenstrasse 19,3052,Zollikofen,3 ½,114 m²,1950
Könizstrasse 257,3097,Liebefeld,3 ½,72 m²,1690
Alpenstrasse 111,3052,Zollikofen,4,86 m²,1870
Bondelistrasse 66,3084,Wabern,4,79 m²,1790
Bondelistrasse 66,3084,Wabern,3 ½,82 m²,1860
Waldmannstrasse 53,3027,Bern,3 ½,68 m²,1360
Dr. Zuber-Strasse 2a,3072,Ostermundigen,2 ½,52 m²,1370
Zähringerstrasse 42,3012,Bern,2,47 m²,1421
Kirchstrasse 154,3084,Wabern,4,79 m²,1663
Blinzernfeldweg 9,3098,Köniz,4 ½,,1756
Rütiweg 110,3072,Ostermundigen,4,,1390
Kirchstrasse 156,3084,Wabern,2,46 m²,1255
Rodtmattstrasse 57,3014,Bern,2,,1730
Im Gerbelacker 2,3063,Ittigen,3 ½,,1670
Sandbühlstrasse 13A,3122,Kehrsatz,4 ½,95 m²,2050
Sägemattstrasse 22,3123,Belp,3 ½,74 m²,1660
Gesellschaftsstrasse 63,3012,Bern,2,52 m²,1450
Funkstrasse 105,3084,Wabern,5 ½,,2489
Wylerringstrasse 11,3014,Bern,2 ½,118 m²,2590
Gantrischstrasse 8a,3006,Bern,2,59 m²,1280
Bernstrasse 205,3052,Zollikofen,2 ½,44 m²,1270
,3008,Bern,3 ½,90 m²,2090
Schlossstrasse 21,3098,Köniz,3 ½,68 m²,1590
Friedeckweg 8,3007,Bern,2 ½,61 m²,1585
Muesmattstrasse 48,3012,Bern,1,20 m²,880
Wylerfeldstrasse 36,3014,Bern,2 ½,,1320
Nesslerenweg 116,3084,Wabern,2 ½,78 m²,1850
Bodenacher 7,3047,Bremgarten,2 ½,67 m²,1700
Tulpenweg 102,3098,Köniz,3 ½,68 m²,1810
Eichenweg 2,3063,Ittigen,2 ½,66 m²,1810
Zwinglistrasse 2,3007,Bern,3,59 m²,1350
,3014,Bern,2 ½,,1248
Jupiterstrasse 51,3015,Bern,2 ½,61 m²,1415
Dorfstrasse,3084,Wabern,3 ½,85 m²,1732
Reichenbachstrasse 120,3004,Bern,1 ½,43 m²,1250
Reichenbachstrasse 120,3004,Bern,2 ½,60 m²,1430
Reichenbachstrasse 120,3004,Bern,2 ½,57 m²,1400
Reichenbachstrasse 120,3004,Bern,1 ½,43 m²,1250
Mühlemattstrasse 57,3007,Bern,1,57 m²,1850
Seminarstrasse 11,3006,Bern,3 ½,120 m²,2700
Rabbentalstrasse,3013,Bern,1,25 m²,1100
Flurstrasse 32,3014,Bern,3 ½,95 m²,2300
