Strasse,Postleitzahl,Ort,Anzahl Zimmer,Flaeche [m2],Preis [CHF],Preis/Fläche [CHF/m2]
Schwamendingenstr. 24,8050,Zürich,1.5,,1560.0,
Seilergraben 49,8001,Zürich,1,41.0,2150.0,52.44
Gladbachstr.,8044,Zürich,3,75.0,2940.0,39.2
,8032,Zürich,3.5,90.0,2695.0,29.94
Hohlstr. 27,8004,Zürich,3.5,73.0,3253.0,44.56
Schwamendingenstr. 10,8050,Zürich,3.5,83.0,2570.0,30.96
Pflanzschulstr. 15,8004,Zürich,2,58.0,1990.0,34.31
Karstlernstr. 12,8048,Zürich,1,34.0,1355.0,39.85
Karstlernstr. 12,8048,Zürich,1,30.0,1300.0,43.33
,8048,Zürich,3,,1950.0,
Im Mittelleimbach 7,8041,Zürich,2.5,72.0,1340.0,18.61
Kilchbergstr. 133,8038,Zürich,2.5,80.0,2350.0,29.38
Baslerstr. 71,8048,Zürich,3.5,74.0,2900.0,39.19
,8008,Zürich,1.5,54.0,2105.0,38.98
Luegislandstr. 84,8051,Zürich,2.5,58.0,1590.0,27.41
Grundstr. 20,8048,Zürich,2.5,62.0,1490.0,24.03
Langstr. 215,8005,Zürich,3.5,100.0,3350.0,33.5
Hätzlergasse 18,8048,Zürich,1,,1090.0,
Auhofstr. 9,8051,Zürich,3.5,90.0,1918.0,21.31
Badenerstr. 717,8048,Zürich,2.5,83.0,2195.0,26.45
,8049,Zürich,1.5,29.0,1105.0,38.1
Allenmoosstr. 95,8057,Zürich,2.5,72.0,2100.0,29.17
Hagenholzstr. 86,8050,Zürich,2.5,120.0,1790.0,14.92
Kyburgstr. 28,8037,Zürich,1,30.0,1011.0,33.7
Riedenhaldenstr. 252,8046,Zürich,3.5,65.0,1850.0,28.46
Wehntalerstr. 374,8046,Zürich,4,90.0,2311.0,25.68
Gloriastr. 88,8044,Zürich,3,85.0,2750.0,32.35
Bluntschlisteig 1,8002,Zürich,4.5,105.0,4650.0,44.29
Thujastr. 14,8038,Zürich,2.5,60.0,2000.0,33.33
Ausserdorfstr. 48,8052,Zürich,2.5,69.0,2530.0,36.67
Ausserdorfstr. 48,8052,Zürich,2.5,65.0,2020.0,31.08
Im Struppen 8,8048,Zürich,4.5,108.0,3580.0,33.15
Badenerstr. 276,8004,Zürich,1.5,,1450.0,
Etzelsteig 1,8038,Zürich,3.5,75.0,3000.0,40.0
Käferholzstr. 58,8057,Zürich,4.5,114.0,3975.0,34.87
Langackerstr. 48,8057,Zürich,3,65.0,2350.0,36.15
Forchstr. 28,8008,Zürich,3.5,81.0,3387.0,41.81
Birmensdorferstr. 529B,8055,Zürich,2.5,,1800.0,
Carl-Spitteler-Str. 75,8053,Zürich,2,88.0,2350.0,26.7
Fritz Heeb-Weg 5,8050,Zürich,3.5,101.0,2470.0,24.46
Wannerstr. 24,8045,Zürich,2.5,105.0,2866.0,27.3
Wannerstr. 22,8045,Zürich,2.5,92.0,2498.0,27.15
Überlandstr. 285,8051,Zürich,1.5,50.0,1477.0,29.54
Bachmannweg 7,8046,Zürich,3.5,96.0,2360.0,24.58
Jenatschstr. 3,8002,Zürich,2.5,72.0,3230.0,44.86
Starengasse 5,8052,Zürich,3.5,75.0,2590.0,34.53
,8053,Zürich,2,,1660.0,
Eggbühlstr. 1,8050,Zürich,4.5,98.0,3458.0,35.29
Ausserdorfstr. 48,8052,Zürich,2.5,76.0,2160.0,28.42
Schöneggstr. 15,8004,Zürich,3.5,62.0,2290.0,36.94
Riedenhaldenstr. 268,8046,Zürich,3.5,74.0,1990.0,26.89
Altstetten,8048,Zürich,4.5,135.0,4490.0,33.26
Buchholzstr.,8053,Zürich,3,80.0,1795.0,22.44
Brinerstr. 3,8003,Zürich,3.5,120.0,2830.0,23.58
Im Glockenacker 13,8053,Zürich,4.5,120.0,3485.0,29.04
Beckhammer 19,8057,Zürich,4.5,85.0,3274.0,38.52
Langfurren 11,8057,Zürich,3,70.0,1780.0,25.43
Rieterstr. 35,8002,Zürich,4.5,90.0,4690.0,52.11
Rieterstr. 35,8002,Zürich,4.5,90.0,4740.0,52.67
Limmatstr. 212,8005,Zürich,3.5,75.0,2710.0,36.13
Langstr. 206,8005,Zürich,3,70.0,2390.0,34.14
Widmerstr. 68,8038,Zürich,3.5,76.0,3240.0,42.63
Read Description,8003,Zürich,3,,2000.0,
Riedhofstr. 49,8049,Zürich,3.5,77.0,2360.0,30.65
Laurenzgasse 7,8006,Zürich,1,33.0,1830.0,55.45
Wartauweg 20,8049,Zürich,3,75.0,1800.0,24.0
Frohburgstr.,8006,Zürich,2.5,60.0,2570.0,42.83
Freiestr. 150,8032,Zürich,1.5,55.0,2350.0,42.73
Bienenstr.,8004,Zürich,2.5,72.0,2530.0,35.14
