index_scraped,Strasse,Nummer,Letter,Postleitzahl,Ort,Anzahl Zimmer,Flaeche m2,Preis CHF,Total,Schweiz,Ausland,Mann,Frau,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90 und mehr,Ledig,Verheiratet,Verwitwet,Geschieden,Unverheiratet,In eingetrage-ner Partner-schaft,Aufgelöste Partnerschaft
,amkrayenrain,10,,4056,basel,2.0,61,1650,20921,11730,9191,10331,10590,1049,925,823,733,1180,1826,2213,1935,1665,1400,1386,1407,1123,860,741,590,426,347,292,11195,6756,882,1995,1,83,8
,amkrayenrain,10,,4056,basel,3.0,75,1980,20921,11730,9191,10331,10590,1049,925,823,733,1180,1826,2213,1935,1665,1400,1386,1407,1123,860,741,590,426,347,292,11195,6756,882,1995,1,83,8
,amkrayenrain,10,,4056,basel,2.5,89,1660,20921,11730,9191,10331,10590,1049,925,823,733,1180,1826,2213,1935,1665,1400,1386,1407,1123,860,741,590,426,347,292,11195,6756,882,1995,1,83,8
,amkrayenrain,10,,4056,basel,3.5,80,1990,20921,11730,9191,10331,10590,1049,925,823,733,1180,1826,2213,1935,1665,1400,1386,1407,1123,860,741,590,426,347,292,11195,6756,882,1995,1,83,8
,amschuetzenweiher,12,,8400,winterthur,6.5,128,3800,40541,31889,8652,19923,20618,1972,1774,1706,1554,2258,4048,4257,3338,2832,2529,2738,2590,2036,1640,1453,1299,1073,827,617,21350,13547,1903,3606,1,117,17
,amwasser,161,,8049,zuerich,1.5,22,1750,23603,17612,5991,11546,12057,1337,1239,997,860,1216,1578,1958,2176,1907,1677,1590,1393,1169,1019,978,941,699,517,352,12444,8017,1072,1929,1,123,17
,amwasser,161,,8049,zuerich,1.5,32,2100,23603,17612,5991,11546,12057,1337,1239,997,860,1216,1578,1958,2176,1907,1677,1590,1393,1169,1019,978,941,699,517,352,12444,8017,1072,1929,1,123,17
,anderkleinenemme,2,,6014,luzern,3.5,90,1790,9868,6699,3169,4886,4982,530,517,536,521,663,764,750,715,669,624,666,710,626,460,443,314,208,121,31,4385,4362,400,700,1,16,4
,anderkleinenemme,2,,6014,luzern,3.5,,1800,9868,6699,3169,4886,4982,530,517,536,521,663,764,750,715,669,624,666,710,626,460,443,314,208,121,31,4385,4362,400,700,1,16,4
,anderkleinenemme,5,,6014,luzern,3.5,97,2230,9868,6699,3169,4886,4982,530,517,536,521,663,764,750,715,669,624,666,710,626,460,443,314,208,121,31,4385,4362,400,700,1,16,4
,andlauerstr.,10,,4057,basel,3.0,70,1520,27037,13502,13535,13886,13151,1261,1128,1065,1012,1442,2371,2801,2479,2020,1793,1816,1864,1643,1280,1045,809,599,384,225,13762,9248,1098,2802,5,100,19
,andlauerstr.,10,,4057,basel,3.5,68,1530,27037,13502,13535,13886,13151,1261,1128,1065,1012,1442,2371,2801,2479,2020,1793,1816,1864,1643,1280,1045,809,599,384,225,13762,9248,1098,2802,5,100,19
,andreasplatz,17,,4051,basel,2.0,47,1660,9454,6096,3358,4616,4838,358,318,274,282,383,726,895,817,699,652,690,674,564,456,473,432,309,233,219,4881,2979,499,1013,2,71,9
,anemonenstr.,42,,8047,zuerich,2.5,49,1990,20694,15204,5490,10199,10495,1401,1122,792,566,739,1515,2197,2197,1873,1454,1242,1096,924,802,849,658,574,424,269,11002,6850,890,1811,2,118,21
,anemonenstr.,42,,8047,zuerich,2.5,63,2074,20694,15204,5490,10199,10495,1401,1122,792,566,739,1515,2197,2197,1873,1454,1242,1096,924,802,849,658,574,424,269,11002,6850,890,1811,2,118,21
,anemonenstr.,45,,8047,zuerich,3.5,94,2900,20694,15204,5490,10199,10495,1401,1122,792,566,739,1515,2197,2197,1873,1454,1242,1096,924,802,849,658,574,424,269,11002,6850,890,1811,2,118,21
,ankerstr.,23,,3006,bern,2.0,54,1290,18851,15242,3609,8814,10037,923,956,907,782,756,1161,1349,1518,1376,1332,1365,1408,1162,967,940,793,528,360,268,9414,6760,843,1729,0,91,13
,ankerstr.,114,/muellerstr.71,8004,zuerich,2.0,87,5350,26839,16829,10010,14451,12388,1043,728,579,548,1247,3637,4371,3269,2487,1975,1810,1438,1110,826,648,462,307,208,146,17458,5920,624,2521,4,252,59
,ankerstr.,114,/muellerstr.71,8004,zuerich,2.5,55,3450,26839,16829,10010,14451,12388,1043,728,579,548,1247,3637,4371,3269,2487,1975,1810,1438,1110,826,648,462,307,208,146,17458,5920,624,2521,4,252,59
,ankerstr.,27,,3006,bern,3.0,76,1645,18851,15242,3609,8814,10037,923,956,907,782,756,1161,1349,1518,1376,1332,1365,1408,1162,967,940,793,528,360,268,9414,6760,843,1729,0,91,13
